iter	RMSE
0	14.42588051
1	13.48227419
2	12.79082403
3	12.03491506
4	11.43413162
5	10.87303996
6	10.43677522
7	9.999032896
8	9.522194217
9	9.135255837
10	8.723729589
11	8.367591712
12	8.114721023
13	7.82372715
14	7.574750296
15	7.389996049
16	7.196488717
17	7.044396538
18	6.90176446
19	6.776959341
20	6.655736695
21	6.559952964
22	6.473877928
23	6.38516634
24	6.312295578
25	6.255891588
26	6.1775538
27	6.110291688
28	6.066242176
29	6.012968907
30	5.973642116
31	5.928074932
32	5.88043876
33	5.848644245
34	5.82093504
35	5.796392543
36	5.771242239
37	5.743559059
38	5.715615033
39	5.69291451
40	5.670948224
41	5.652485284
42	5.627944687
43	5.603721695
44	5.59271059
45	5.573629782
46	5.562480421
47	5.555958832
48	5.542224762
49	5.528639115
